Total unique clusters: 22684
Total applications: 2776892
Average applications per cluster: 122.42

Most heavily used clusters:
  Cluster 664.0: 599 applications
  Cluster 603.0: 598 applications
  Cluster 663.0: 598 applications
  Cluster 432.0: 597 applications
  Cluster 666.0: 597 applications
  Cluster 1309.0: 597 applications
  Cluster 657.0: 597 applications
  Cluster 662.0: 597 applications
  Cluster 612.0: 596 applications
  Cluster 1081.0: 595 applications
  Cluster 611.0: 594 applications
  Cluster 530.0: 594 applications
  Cluster 701.0: 591 applications
  Cluster 674.0: 590 applications
  Cluster 928.0: 590 applications
  Cluster 602.0: 589 applications
  Cluster 608.0: 589 applications
  Cluster 604.0: 589 applications
  Cluster 435.0: 587 applications
  Cluster 436.0: 586 applications
  Cluster 926.0: 586 applications
  Cluster 547.0: 586 applications
  Cluster 614.0: 585 applications
  Cluster 676.0: 585 applications
  Cluster 430.0: 584 applications
  Cluster 625.0: 584 applications
  Cluster 673.0: 580 applications
  Cluster 652.0: 580 applications
  Cluster 651.0: 579 applications
  Cluster 445.0: 578 applications
  Cluster 444.0: 577 applications
  Cluster 672.0: 576 applications
  Cluster 675.0: 575 applications
  Cluster 437.0: 574 applications
  Cluster 1366.0: 572 applications
  Cluster 438.0: 566 applications
  Cluster 929.0: 565 applications
  Cluster 1789.0: 564 applications
  Cluster 433.0: 564 applications
  Cluster 1996.0: 562 applications
  Cluster 853.0: 562 applications
  Cluster 2207.0: 560 applications
  Cluster 2204.0: 560 applications
  Cluster 703.0: 559 applications
  Cluster 1736.0: 559 applications
  Cluster 450.0: 559 applications
  Cluster 434.0: 559 applications
  Cluster 447.0: 556 applications
  Cluster 1298.0: 556 applications
  Cluster 449.0: 555 applications
  Cluster 1149.0: 551 applications
  Cluster 688.0: 551 applications
  Cluster 443.0: 550 applications
  Cluster 448.0: 550 applications
  Cluster 923.0: 549 applications
  Cluster 728.0: 549 applications
  Cluster 851.0: 548 applications
  Cluster 865.0: 547 applications
  Cluster 891.0: 546 applications
  Cluster 1573.0: 546 applications
  Cluster 896.0: 546 applications
  Cluster 855.0: 545 applications
  Cluster 771.0: 545 applications
  Cluster 738.0: 544 applications
  Cluster 753.0: 543 applications
  Cluster 739.0: 540 applications
  Cluster 692.0: 539 applications
  Cluster 915.0: 537 applications
  Cluster 880.0: 537 applications
  Cluster 746.0: 537 applications
  Cluster 1786.0: 536 applications
  Cluster 735.0: 535 applications
  Cluster 718.0: 534 applications
  Cluster 1936.0: 534 applications
  Cluster 743.0: 534 applications
  Cluster 888.0: 534 applications
  Cluster 869.0: 534 applications
  Cluster 1999.0: 534 applications
  Cluster 824.0: 534 applications
  Cluster 909.0: 534 applications
  Cluster 762.0: 533 applications
  Cluster 727.0: 533 applications
  Cluster 1093.0: 532 applications
  Cluster 705.0: 531 applications
  Cluster 716.0: 531 applications
  Cluster 713.0: 531 applications
  Cluster 745.0: 531 applications
  Cluster 737.0: 531 applications
  Cluster 783.0: 530 applications
  Cluster 734.0: 530 applications
  Cluster 867.0: 529 applications
  Cluster 769.0: 529 applications
  Cluster 756.0: 529 applications
  Cluster 862.0: 528 applications
  Cluster 849.0: 528 applications
  Cluster 871.0: 528 applications
  Cluster 836.0: 528 applications
  Cluster 731.0: 528 applications
  Cluster 775.0: 527 applications
  Cluster 774.0: 527 applications
  Cluster 884.0: 527 applications
  Cluster 691.0: 527 applications
  Cluster 931.0: 527 applications
  Cluster 752.0: 525 applications
  Cluster 839.0: 525 applications
  Cluster 702.0: 525 applications
  Cluster 707.0: 525 applications
  Cluster 699.0: 525 applications
  Cluster 697.0: 524 applications
  Cluster 887.0: 523 applications
  Cluster 733.0: 523 applications
  Cluster 868.0: 523 applications
  Cluster 1083.0: 523 applications
  Cluster 696.0: 523 applications
  Cluster 786.0: 523 applications
  Cluster 780.0: 523 applications
  Cluster 764.0: 523 applications
  Cluster 879.0: 523 applications
  Cluster 806.0: 522 applications
  Cluster 715.0: 522 applications
  Cluster 1124.0: 522 applications
  Cluster 689.0: 521 applications
  Cluster 758.0: 521 applications
  Cluster 717.0: 521 applications
  Cluster 856.0: 521 applications
  Cluster 1357.0: 520 applications
  Cluster 903.0: 520 applications
  Cluster 747.0: 520 applications
  Cluster 726.0: 520 applications
  Cluster 847.0: 520 applications
  Cluster 828.0: 520 applications
  Cluster 732.0: 519 applications
  Cluster 1058.0: 519 applications
  Cluster 748.0: 519 applications
  Cluster 770.0: 519 applications
  Cluster 875.0: 519 applications
  Cluster 750.0: 519 applications
  Cluster 808.0: 519 applications
  Cluster 881.0: 519 applications
  Cluster 759.0: 519 applications
  Cluster 890.0: 519 applications
  Cluster 866.0: 518 applications
  Cluster 777.0: 518 applications
  Cluster 1533.0: 518 applications
  Cluster 819.0: 518 applications
  Cluster 800.0: 518 applications
  Cluster 714.0: 518 applications
  Cluster 789.0: 518 applications
  Cluster 804.0: 517 applications
  Cluster 1330.0: 517 applications
  Cluster 773.0: 517 applications
  Cluster 1085.0: 516 applications
  Cluster 1576.0: 516 applications
  Cluster 742.0: 516 applications
  Cluster 877.0: 515 applications
  Cluster 708.0: 515 applications
  Cluster 768.0: 515 applications
  Cluster 951.0: 515 applications
  Cluster 706.0: 514 applications
